iter	Passed	Remaining
393	599	921
394	601	921
395	604	921
396	606	921
397	608	920
398	611	921
399	614	921
400	616	920
401	619	920
402	621	920
403	623	920
404	625	919
405	628	919
406	630	919
407	633	918
408	635	918
409	637	917
410	639	916
411	642	916
412	644	916
413	646	915
414	649	914
415	651	914
416	653	913
417	655	913
418	658	912
419	660	911
420	661	910
421	664	909
422	666	909
423	669	909
424	672	909
425	674	908
426	676	908
427	679	907
428	681	906
429	683	906
430	685	905
431	688	905
432	690	904
433	692	903
434	694	902
435	696	901
436	699	900
437	701	899
438	703	898
439	705	897
440	707	897
441	709	896
442	711	894
443	714	894
444	716	893
445	719	893
446	721	892
447	724	893
448	726	892
449	729	891
450	731	890
451	733	889
452	735	888
453	738	887
454	740	887
455	743	886
456	746	886
457	748	885
458	750	885
459	753	884
460	755	883
461	757	882
462	759	881
463	762	880
464	764	879
465	766	878
466	768	877
467	770	876
468	772	875
469	774	873
470	776	872
471	779	871
472	781	870
473	783	869
474	785	868
475	788	867
476	790	866
477	792	865
478	794	864
479	796	862
480	798	861
481	800	860
482	803	859
483	805	858
484	807	857
485	809	856
486	811	855
487	813	853
488	815	852
489	817	851
490	820	850
491	822	848
492	824	847
493	826	846
494	828	845
495	830	844
496	832	843
497	835	841
498	837	840
499	839	839
500	845	841
501	847	840
502	850	839
503	852	839
504	855	838
505	857	837
506	859	835
507	861	834
508	864	833
509	866	832
510	868	831
511	871	830
512	873	828
513	875	827
514	877	826
515	879	824
516	881	823
517	883	822
518	886	821
519	889	820
520	891	819
521	893	818
522	896	817
523	899	816
524	901	815
525	903	814
526	905	813
527	908	811
528	910	810
529	912	809
530	915	808
531	917	807
532	920	806
533	922	804
534	924	803
535	926	802
536	929	801
537	931	799
538	933	798
539	935	797
540	938	796
541	940	794
542	942	792
543	944	791
544	946	790
545	948	788
546	950	787
547	952	785
548	954	784
549	956	782
550	959	781
551	960	779
552	963	778
553	966	777
554	969	777
555	971	775
556	974	774
557	976	773
558	978	772
559	981	771
560	983	769
561	985	768
562	988	766
563	990	765
564	992	764
565	994	762
566	996	761
567	999	759
568	1001	758
569	1003	757
570	1005	755
571	1008	754
572	1010	753
573	1012	751
574	1015	750
575	1017	748
576	1019	747
577	1022	746
578	1025	745
579	1027	743
580	1029	742
581	1031	740
582	1033	739
583	1036	738
584	1039	737
585	1041	735
586	1044	734
587	1046	733
588	1049	732
589	1051	730
590	1054	729
591	1056	728
592	1058	726
593	1061	725
594	1063	723
595	1065	722
596	1069	721
597	1071	720
598	1073	718
599	1075	716
600	1078	715
601	1080	714
602	1083	713
603	1085	711
604	1087	709
605	1089	708
606	1092	707
607	1094	705
608	1096	704
609	1099	702
610	1101	701
611	1103	699
612	1106	698
613	1108	696
614	1110	695
615	1113	693
616	1115	692
617	1117	690
618	1119	689
619	1121	687
620	1124	686
621	1126	684
622	1128	683
623	1130	681
624	1133	679
625	1135	678
626	1136	676
627	1138	674
628	1140	672
629	1142	671
630	1145	669
631	1147	668
632	1149	666
633	1151	665
634	1154	663
635	1156	661
636	1158	660
637	1160	658
638	1162	656
639	1164	655
640	1166	653
641	1169	651
642	1171	650
643	1173	648
644	1175	646
645	1177	645
646	1179	643
647	1181	641
648	1183	640
649	1186	638
650	1188	637
651	1190	635
652	1192	633
653	1194	632
654	1197	630
655	1200	629
656	1202	627
657	1204	625
658	1206	624
659	1208	622
660	1210	620
661	1212	619
662	1214	617
663	1216	615
664	1218	614
665	1221	612
666	1223	610
667	1225	609
668	1227	607
669	1229	605
670	1231	603
671	1233	602
672	1235	600
673	1238	598
674	1240	597
675	1243	595
676	1245	594
677	1247	592
678	1249	590
679	1252	589
680	1254	587
681	1256	585
682	1258	584
683	1260	582
684	1262	580
685	1264	578
686	1267	577
687	1269	575
688	1271	573
689	1273	572
690	1275	570
691	1278	568
692	1280	567
693	1282	565
694	1284	563
695	1287	562
696	1289	560
697	1291	558
698	1293	556
699	1295	555
700	1297	553
701	1299	551
702	1302	550
703	1304	548
704	1306	546
705	1307	544
706	1309	542
707	1311	541
708	1314	539
709	1316	537
710	1318	536
711	1320	534
712	1324	533
713	1326	531
714	1328	529
715	1331	527
716	1333	526
717	1335	524
718	1337	522
719	1340	521
720	1342	519
721	1345	517
722	1347	516
723	1349	514
724	1351	512
725	1353	510
726	1355	509
727	1358	507
728	1360	505
729	1363	504
730	1365	502
731	1367	500
732	1370	499
733	1372	497
734	1375	495
735	1378	494
736	1380	492
737	1382	490
738	1384	489
739	1387	487
740	1389	485
741	1391	483
742	1393	482
743	1396	480
744	1398	478
745	1400	476
746	1403	475
747	1405	473
748	1408	471
749	1410	470
750	1413	468
751	1415	466
752	1417	465
753	1420	463
754	1422	461
755	1425	459
756	1427	458
757	1430	456
758	1433	455
759	1435	453
760	1438	451
761	1440	450
762	1443	448
763	1445	446
764	1448	444
765	1450	443
766	1452	441
767	1454	439
768	1456	437
769	1459	435
770	1461	434
771	1464	432
772	1465	430
773	1468	428
774	1470	426
775	1473	425
776	1477	423
777	1479	422
778	1481	420
779	1483	418
780	1485	416
781	1487	414
782	1490	412
783	1492	411
784	1495	409
785	1497	407
786	1499	405
787	1502	404
788	1504	402
789	1506	400
790	1509	398
791	1511	396
792	1513	395
793	1515	393
794	1517	391
795	1519	389
796	1522	387
797	1524	386
798	1527	384
799	1529	382
800	1531	380
801	1533	378
802	1535	376
803	1537	374
804	1539	373
805	1542	371
806	1544	369
807	1546	367
808	1548	365
809	1550	363
810	1554	362
811	1556	360
812	1558	358
813	1560	356
814	1562	354
815	1565	353
816	1568	351
817	1570	349
818	1573	347
819	1575	345
820	1578	344
821	1580	342
822	1583	340
823	1585	338
824	1587	336
825	1590	334
826	1591	333
827	1593	331
828	1596	329
829	1598	327
830	1601	325
831	1604	323
832	1607	322
833	1609	320
834	1611	318
835	1613	316
836	1615	314
837	1617	312
838	1619	310
839	1621	308
840	1623	306
841	1626	305
842	1628	303
843	1631	301
844	1633	299
845	1635	297
846	1638	295
847	1640	294
848	1642	292
849	1644	290
850	1646	288
851	1648	286
852	1651	284
853	1653	282
854	1655	280
855	1658	278
856	1660	277
857	1663	275
858	1665	273
859	1667	271
860	1669	269
861	1672	267
862	1674	265
863	1676	263
864	1678	262
865	1681	260
866	1683	258
867	1685	256
868	1687	254
869	1690	252
870	1693	250
871	1695	248
872	1697	246
873	1699	245
874	1702	243
875	1704	241
876	1706	239
877	1709	237
878	1711	235
879	1713	233
880	1715	231
881	1718	229
882	1720	227
883	1722	226
884	1725	224
885	1727	222
886	1729	220
887	1732	218
888	1734	216
889	1736	214
890	1738	212
891	1741	210
892	1743	208
893	1745	206
894	1747	205
895	1750	203
896	1752	201
897	1754	199
898	1757	197
899	1764	196
900	1766	194
901	1769	192
902	1771	190
903	1773	188
904	1776	186
905	1778	184
906	1781	182
907	1783	180
908	1785	178
909	1787	176
910	1789	174
911	1792	172
912	1794	170
913	1796	169
914	1798	167
915	1800	165
916	1803	163
917	1805	161
918	1807	159
919	1809	157
920	1812	155
921	1814	153
922	1817	151
923	1819	149
924	1821	147
925	1823	145
926	1826	143
927	1828	141
928	1830	139
929	1833	137
930	1835	136
931	1837	134
932	1840	132
933	1843	130
934	1846	128
935	1848	126
936	1850	124
937	1852	122
938	1854	120
939	1857	118
940	1859	116
941	1861	114
942	1863	112
943	1865	110
944	1867	108
945	1869	106
946	1871	104
947	1873	102
948	1875	100
949	1877	98
950	1886	97
951	1889	95
952	1891	93
953	1893	91
954	1896	89
955	1898	87
956	1900	85
957	1902	83
958	1905	81
959	1907	79
960	1909	77
961	1911	75
962	1914	73
963	1916	71
964	1919	69
965	1921	67
966	1923	65
967	1926	63
968	1928	61
969	1930	59
970	1932	57
971	1935	55
972	1936	53
973	1938	51
974	1941	49
975	1943	47
976	1945	45
977	1948	43
978	1950	41
979	1952	39
980	1954	37
981	1956	35
982	1960	33
983	1964	31
984	1967	29
985	1970	27
986	1974	26
987	1977	24
988	1981	22
989	1984	20
990	1988	18
991	1991	16
992	1994	14
993	1997	12
994	2000	10
995	2003	8
996	2007	6
997	2010	4
998	2013	2
999	2018	0
